ticker,open_time,close_time,open_price,close_price,outcome($),duration(minutes),side,closing_reason
EURCAD,1546403400,1546405680,1.56178,1.56229,-0.68,38.0,SELL,issue_with_data
EURCAD,1546407060,1546408860,1.56031,1.56212,-1.98,30.0,SELL,signal_opposite
EURCAD,1546408860,1546412640,1.56212,1.56168,-0.61,63.0,BUY,signal_opposite
EURCAD,1546412640,1546419600,1.56168,1.5598800000000002,1.63,116.0,SELL,signal_opposite
EURCAD,1546419600,1546422060,1.5598800000000002,1.55704,-3.01,41.0,BUY,signal_opposite
EURCAD,1546422060,1546424940,1.55704,1.55876,-1.89,48.0,SELL,signal_opposite
EURCAD,1546424940,1546427400,1.55876,1.5575,-1.43,41.0,BUY,signal_opposite
EURCAD,1546427400,1546459680,1.5575,1.54158,15.75,538.0,SELL,signal_opposite
EURCAD,1546459680,1546462620,1.54158,1.5408,-0.94,49.0,BUY,signal_opposite
EURCAD,1546462620,1546465320,1.5408,1.542,-1.36,45.0,SELL,signal_opposite
EURCAD,1546465320,1546466340,1.542,1.53996,-2.2,17.0,BUY,signal_opposite
EURCAD,1546466340,1546482000,1.53996,1.54725,-7.5,261.0,SELL,signal_opposite
EURCAD,1546482000,1546495740,1.54725,1.54849,1.08,229.0,BUY,signal_opposite
EURCAD,1546495740,1546527720,1.54849,1.54168,6.65,533.0,SELL,signal_opposite
EURCAD,1546527720,1546533720,1.54168,1.53513,-6.71,100.0,BUY,signal_opposite
EURCAD,1546533720,1546554540,1.53513,1.5375,-2.53,347.0,SELL,signal_opposite
EURCAD,1546554540,1546557120,1.5375,1.53515,-2.51,43.0,BUY,signal_opposite
EURCAD,1546557120,1546561560,1.53515,1.53687,-1.93,74.0,SELL,signal_opposite
EURCAD,1546561560,1546566300,1.53687,1.53715,0.12,79.0,BUY,signal_opposite
EURCAD,1546566300,1546593660,1.53715,1.5343,2.69,456.0,SELL,signal_opposite
EURCAD,1546593660,1546604460,1.5343,1.53262,-1.84,180.0,BUY,signal_opposite
EURCAD,1546604460,1546618620,1.53262,1.5295,2.96,236.0,SELL,signal_opposite
EURCAD,1546618620,1546636020,1.5295,1.52644,-3.22,290.0,BUY,signal_opposite
EURCAD,1546636020,1546822440,1.52644,1.52644,-0.31,3107.0,SELL,signal_opposite
EURCAD,1546822440,1546836480,1.52644,1.52568,-0.92,234.0,BUY,signal_opposite
EURCAD,1546836480,1546842120,1.52568,1.5259200000000002,-0.4,94.0,SELL,signal_opposite
